City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
241,Sisimiut,GL,66.9395,-53.6735,-3.03,90,100,11.97,overcast clouds,2021-03-25 19:16:46
242,Asyut,EG,27.181,31.1837,62.6,42,0,11.5,clear sky,2021-03-25 19:12:04
243,Axim,GH,4.8699,-2.2405,80.37,80,89,7.47,overcast clouds,2021-03-25 19:16:46
244,Coahuayana,MX,18.7333,-103.6833,82.4,26,75,11.5,broken clouds,2021-03-25 19:16:46
245,Madang,PG,-5.2246,145.7966,75.54,92,100,2.71,overcast clouds,2021-03-25 19:16:47
246,Vilcun,CL,-38.65,-72.2333,66.2,55,0,8.05,clear sky,2021-03-25 19:16:47
247,Ulaanbaatar,MN,47.9077,106.8832,26.6,74,0,2.24,clear sky,2021-03-25 19:16:47
248,Baherden,TM,38.4362,57.4316,65.37,63,0,7.25,clear sky,2021-03-25 19:16:47
249,Ballina,AU,-28.8667,153.5667,62.6,88,0,3.44,clear sky,2021-03-25 19:16:48
250,Constitucion,CL,-35.3333,-72.4167,62.8,56,0,15.86,clear sky,2021-03-25 19:16:48
251,Jalu,LY,29.0331,21.5482,57.51,49,66,7.47,broken clouds,2021-03-25 19:16:48
252,Okha,RU,53.5739,142.9478,6.33,89,100,2.75,overcast clouds,2021-03-25 19:16:48
253,Shumikha,RU,55.2261,63.2961,20.32,92,6,8.5,clear sky,2021-03-25 19:16:49
254,Ranong,TH,9.9658,98.6348,76.86,88,100,3.58,overcast clouds,2021-03-25 19:16:49
255,Jacqueville,CI,5.2052,-4.4146,82.4,78,0,3.44,clear sky,2021-03-25 19:16:49
256,Cherskiy,RU,68.75,161.3,-26.25,97,100,3.62,overcast clouds,2021-03-25 19:16:49
257,Ipswich,GB,52.0592,1.1555,50.0,81,20,13.8,few clouds,2021-03-25 19:16:50
258,Kununurra,AU,-15.7667,128.7333,77.0,100,100,3.18,overcast clouds,2021-03-25 19:16:50
259,Kenai,US,60.5544,-151.2583,30.2,93,90,6.91,overcast clouds,2021-03-25 19:16:50
260,Angoche,MZ,-16.2325,39.9086,77.31,82,17,5.06,few clouds,2021-03-25 19:16:51
